epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,729.317,0.78758,0.57847,1.40319,0.01309,0.8983,0.8258,0.89452,0.68556,0.80453,0.5807,1.53081,0.01005,0.000582435,0.000582435,0.000582435
38,748.581,0.7928,0.59358,1.42257,0.01102,0.90831,0.82927,0.89611,0.68791,0.8067,0.5706,1.55422,0.01036,0.000563181,0.000563181,0.000563181
39,767.905,0.79772,0.59039,1.40851,0.01463,0.88909,0.83122,0.89348,0.68832,0.80001,0.5674,1.53142,0.01043,0.000543837,0.000543837,0.000543837
40,787.294,0.79653,0.59549,1.41689,0.01187,0.90283,0.82653,0.89563,0.68754,0.81329,0.57034,1.5524,0.01042,0.000524434,0.000524434,0.000524434
41,806.574,0.79926,0.59161,1.41339,0.01279,0.90147,0.82473,0.88841,0.6835,0.80451,0.56884,1.5467,0.01058,0.000505,0.000505,0.000505
42,825.855,0.78807,0.57831,1.39828,0.01307,0.91065,0.8164,0.88986,0.68458,0.80222,0.56932,1.54732,0.01039,0.000485566,0.000485566,0.000485566
43,845.292,0.79086,0.58458,1.40377,0.0143,0.88691,0.80149,0.87283,0.67309,0.80881,0.58294,1.5607,0.01017,0.000466163,0.000466163,0.000466163
44,864.538,0.77636,0.56399,1.40711,0.01117,0.87413,0.8173,0.87828,0.67916,0.80552,0.57212,1.55132,0.0103,0.000446819,0.000446819,0.000446819
45,884.018,0.77934,0.56607,1.39197,0.0124,0.91202,0.81213,0.89117,0.68841,0.79862,0.55833,1.53959,0.01029,0.000427565,0.000427565,0.000427565
46,903.431,0.7804,0.58232,1.39829,0.01267,0.89041,0.8223,0.8866,0.68561,0.80399,0.57526,1.54574,0.01064,0.00040843,0.00040843,0.00040843
47,922.763,0.77652,0.57122,1.39399,0.01163,0.87819,0.81812,0.8813,0.68098,0.80403,0.57361,1.53622,0.0102,0.000389445,0.000389445,0.000389445
48,942.214,0.77498,0.57627,1.39619,0.01408,0.8785,0.81657,0.87656,0.67693,0.80293,0.58764,1.53869,0.01065,0.000370637,0.000370637,0.000370637
49,961.527,0.77808,0.57566,1.39925,0.01224,0.90535,0.80927,0.88253,0.68616,0.79988,0.56495,1.54779,0.01021,0.000352037,0.000352037,0.000352037
50,980.94,0.77116,0.566,1.38677,0.01076,0.89104,0.81412,0.88375,0.68483,0.79815,0.5663,1.54876,0.01023,0.000333672,0.000333672,0.000333672
51,1000.33,0.78355,0.58079,1.38652,0.01288,0.88618,0.81477,0.88135,0.67976,0.80535,0.57474,1.5522,0.01011,0.000315572,0.000315572,0.000315572
52,1019.78,0.76394,0.56556,1.37828,0.01211,0.89768,0.81609,0.88923,0.6874,0.79874,0.56575,1.55224,0.01011,0.000297763,0.000297763,0.000297763
53,1039.24,0.76172,0.554,1.39061,0.01113,0.89369,0.82306,0.88943,0.68536,0.79867,0.5573,1.54517,0.0104,0.000280275,0.000280275,0.000280275
54,1058.82,0.77844,0.57556,1.40851,0.01317,0.87904,0.81807,0.88349,0.68489,0.79607,0.57734,1.53944,0.01041,0.000263132,0.000263132,0.000263132
55,1078.03,0.76626,0.55481,1.38509,0.01071,0.90939,0.82336,0.8959,0.69362,0.79462,0.5485,1.54309,0.0095,0.000246363,0.000246363,0.000246363
56,1097.4,0.76309,0.55444,1.37997,0.01227,0.91117,0.80741,0.89095,0.68771,0.79188,0.56034,1.53447,0.01006,0.000229993,0.000229993,0.000229993
57,1116.97,0.77308,0.57125,1.38632,0.01404,0.90624,0.80972,0.88841,0.68666,0.79183,0.55941,1.53958,0.01053,0.000214046,0.000214046,0.000214046
58,1136.35,0.76625,0.55997,1.38054,0.01076,0.90846,0.81697,0.89476,0.69156,0.79138,0.55614,1.53049,0.01034,0.000198548,0.000198548,0.000198548
59,1155.84,0.76176,0.54567,1.3816,0.01205,0.90815,0.82583,0.8964,0.6914,0.79594,0.55422,1.54273,0.01023,0.000183523,0.000183523,0.000183523
60,1175.24,0.7588,0.54522,1.37403,0.01189,0.90589,0.8167,0.89698,0.69458,0.78873,0.54587,1.52958,0.01022,0.000168994,0.000168994,0.000168994
61,1194.86,0.76845,0.56546,1.38601,0.01178,0.90023,0.82927,0.89818,0.69484,0.79021,0.54982,1.52888,0.01063,0.000154982,0.000154982,0.000154982
62,1214.28,0.76075,0.56017,1.37933,0.01086,0.92201,0.8135,0.8976,0.69473,0.7876,0.54433,1.527,0.01022,0.00014151,0.00014151,0.00014151
63,1233.72,0.75819,0.55584,1.37485,0.01364,0.9183,0.81321,0.89373,0.69075,0.78936,0.55209,1.53107,0.0098,0.000128599,0.000128599,0.000128599
64,1253.26,0.74942,0.54135,1.3733,0.01101,0.91899,0.80983,0.89428,0.6915,0.78941,0.54957,1.53061,0.01052,0.000116268,0.000116268,0.000116268
65,1272.78,0.75965,0.55503,1.38323,0.01165,0.90918,0.81165,0.89384,0.69176,0.79071,0.55359,1.52987,0.01029,0.000104537,0.000104537,0.000104537
66,1292.14,0.7615,0.5578,1.3892,0.01102,0.90141,0.81478,0.8904,0.68919,0.79397,0.55789,1.5369,0.00987,9.34225e-05,9.34225e-05,9.34225e-05
67,1311.53,0.75906,0.55038,1.36939,0.01149,0.9211,0.80775,0.89444,0.69088,0.78993,0.54912,1.53177,0.00999,8.29431e-05,8.29431e-05,8.29431e-05
68,1330.93,0.75831,0.54562,1.37642,0.01269,0.92111,0.81609,0.89768,0.69321,0.79032,0.5454,1.53118,0.00975,7.31145e-05,7.31145e-05,7.31145e-05
69,1350.55,0.75813,0.55729,1.38369,0.0128,0.91517,0.82291,0.89798,0.69321,0.79153,0.54468,1.53115,0.00998,6.39518e-05,6.39518e-05,6.39518e-05
70,1370.15,0.74692,0.54654,1.37493,0.01128,0.91417,0.81579,0.89599,0.69233,0.79189,0.54767,1.53594,0.01009,5.54691e-05,5.54691e-05,5.54691e-05
71,1398.99,0.69569,0.5052,1.35674,0.01255,0.90348,0.79912,0.87626,0.6759,0.81768,0.63828,1.565,0.01051,4.76796e-05,4.76796e-05,4.76796e-05
72,1418.64,0.68706,0.48501,1.3411,0.01193,0.90965,0.79793,0.87802,0.67862,0.81288,0.61046,1.55635,0.01031,4.05953e-05,4.05953e-05,4.05953e-05
73,1438.24,0.69167,0.47016,1.34118,0.01229,0.89443,0.80928,0.87511,0.67806,0.80996,0.60291,1.55516,0.0104,3.4227e-05,3.4227e-05,3.4227e-05
74,1457.82,0.68323,0.46217,1.34974,0.0123,0.90449,0.81032,0.88011,0.68079,0.80343,0.58869,1.54823,0.01029,2.85847e-05,2.85847e-05,2.85847e-05
75,1477.53,0.67881,0.46261,1.34064,0.01208,0.89097,0.81719,0.87719,0.67913,0.80458,0.58914,1.55237,0.01033,2.36769e-05,2.36769e-05,2.36769e-05
76,1497.19,0.67693,0.46048,1.32812,0.01175,0.89396,0.81553,0.87793,0.68094,0.80318,0.58589,1.55089,0.01031,1.95113e-05,1.95113e-05,1.95113e-05
77,1516.78,0.68612,0.46103,1.34375,0.01205,0.8916,0.8165,0.87871,0.68095,0.8025,0.5851,1.54849,0.01032,1.60943e-05,1.60943e-05,1.60943e-05
78,1536.57,0.68285,0.46769,1.34421,0.01144,0.89198,0.81519,0.87966,0.68113,0.80121,0.58386,1.54787,0.01027,1.34311e-05,1.34311e-05,1.34311e-05
79,1556.23,0.67632,0.46059,1.33127,0.0126,0.89842,0.81118,0.87842,0.68011,0.80285,0.58573,1.55127,0.0103,1.15259e-05,1.15259e-05,1.15259e-05
80,1575.86,0.6808,0.46148,1.3428,0.0115,0.89159,0.8141,0.87811,0.67946,0.80094,0.58571,1.55002,0.01019,1.03816e-05,1.03816e-05,1.03816e-05
