epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,575.964,0.87137,0.6944,1.32259,0.03247,0.90695,0.74989,0.81461,0.59606,0.84481,0.69279,1.42367,0.04082,0.00922942,0.00922942,0.00922942
38,591.136,0.86629,0.67116,1.34319,0.03167,0.88787,0.75354,0.8264,0.62164,0.83706,0.65471,1.44195,0.03967,0.00918725,0.00918725,0.00918725
39,606.29,0.86208,0.66382,1.33208,0.03685,0.87893,0.73933,0.83008,0.61362,0.83562,0.70649,1.40252,0.04023,0.00914405,0.00914405,0.00914405
40,621.4,0.83407,0.64922,1.31514,0.03408,0.87346,0.76564,0.82821,0.63138,0.80397,0.68407,1.39366,0.0386,0.00909984,0.00909984,0.00909984
41,636.545,0.84114,0.64644,1.3189,0.03432,0.86803,0.77393,0.82665,0.61864,0.79767,0.67927,1.4064,0.03548,0.00905463,0.00905463,0.00905463
42,651.669,0.85193,0.65881,1.33119,0.03386,0.89993,0.74781,0.81958,0.61594,0.83432,0.68481,1.4111,0.03577,0.00900844,0.00900844,0.00900844
43,666.622,0.83223,0.63923,1.31075,0.03227,0.88408,0.74227,0.80105,0.61156,0.82111,0.69135,1.40315,0.03615,0.00896127,0.00896127,0.00896127
44,681.982,0.8481,0.66399,1.32299,0.03346,0.87501,0.7697,0.83505,0.62844,0.80809,0.65604,1.41846,0.04044,0.00891313,0.00891313,0.00891313
45,697.199,0.82726,0.64599,1.31309,0.03126,0.87193,0.75291,0.83393,0.63006,0.81015,0.72251,1.41472,0.03755,0.00886404,0.00886404,0.00886404
46,712.269,0.81252,0.64062,1.30458,0.03182,0.86773,0.77306,0.82929,0.63147,0.79931,0.66811,1.3805,0.03609,0.00881401,0.00881401,0.00881401
47,727.435,0.81503,0.62626,1.28398,0.02849,0.91151,0.75587,0.83633,0.63556,0.82492,0.64663,1.41597,0.03734,0.00876305,0.00876305,0.00876305
48,742.548,0.80577,0.62098,1.29543,0.02822,0.87835,0.76329,0.80765,0.61084,0.80108,0.66705,1.3961,0.03708,0.00871117,0.00871117,0.00871117
49,757.8,0.81133,0.61575,1.30898,0.03058,0.8723,0.75983,0.8293,0.62226,0.80986,0.6466,1.4226,0.03682,0.00865839,0.00865839,0.00865839
50,772.983,0.81592,0.6309,1.29101,0.03061,0.90003,0.75978,0.82967,0.62519,0.79026,0.64228,1.40087,0.03723,0.00860473,0.00860473,0.00860473
51,788.261,0.80552,0.62555,1.27636,0.03262,0.88318,0.75559,0.8196,0.62048,0.82865,0.63256,1.42865,0.03769,0.00855018,0.00855018,0.00855018
52,803.522,0.80634,0.62118,1.28248,0.03006,0.86833,0.77905,0.83127,0.621,0.8293,0.68283,1.45856,0.03658,0.00849477,0.00849477,0.00849477
53,818.618,0.78523,0.60116,1.27356,0.02847,0.85891,0.78222,0.828,0.62686,0.79628,0.63796,1.38878,0.03485,0.00843851,0.00843851,0.00843851
54,833.752,0.79292,0.60198,1.27703,0.03196,0.86017,0.76294,0.81738,0.61636,0.80795,0.68322,1.44731,0.03673,0.00838141,0.00838141,0.00838141
55,849.013,0.79009,0.60174,1.28626,0.02651,0.87615,0.78512,0.83882,0.63258,0.79149,0.641,1.38388,0.03496,0.00832349,0.00832349,0.00832349
56,864.136,0.78277,0.60182,1.28308,0.03039,0.88558,0.7733,0.83719,0.62957,0.78308,0.61108,1.39308,0.03246,0.00826477,0.00826477,0.00826477
57,879.298,0.77688,0.59461,1.26672,0.02955,0.896,0.77184,0.83036,0.62626,0.79528,0.64367,1.40475,0.03388,0.00820525,0.00820525,0.00820525
58,894.493,0.77598,0.59374,1.27008,0.02965,0.88819,0.77784,0.84362,0.6383,0.78172,0.61001,1.401,0.03524,0.00814495,0.00814495,0.00814495
59,909.75,0.77144,0.58699,1.26067,0.03131,0.89915,0.77142,0.83175,0.62721,0.79922,0.6393,1.41659,0.03533,0.00808389,0.00808389,0.00808389
60,924.732,0.76193,0.57115,1.27965,0.02898,0.86846,0.76573,0.8331,0.63659,0.78428,0.63941,1.41991,0.03378,0.00802208,0.00802208,0.00802208
61,939.917,0.77187,0.57765,1.25935,0.02756,0.89928,0.77371,0.83826,0.63384,0.7866,0.61564,1.39643,0.03221,0.00795954,0.00795954,0.00795954
62,955.095,0.75942,0.57594,1.26057,0.02643,0.88938,0.78976,0.8433,0.63128,0.7863,0.60021,1.4116,0.03551,0.00789628,0.00789628,0.00789628
63,970.219,0.76417,0.57396,1.26441,0.02976,0.90494,0.78225,0.83717,0.63781,0.77104,0.59132,1.39652,0.03321,0.00783231,0.00783231,0.00783231
64,985.274,0.75265,0.56136,1.25629,0.02544,0.90671,0.76469,0.8404,0.63514,0.77238,0.58979,1.37379,0.03417,0.00776766,0.00776766,0.00776766
65,1000.44,0.75902,0.57399,1.27416,0.03,0.88483,0.78847,0.83948,0.64007,0.77189,0.59043,1.39197,0.03461,0.00770234,0.00770234,0.00770234
66,1015.65,0.73948,0.55276,1.24281,0.02665,0.89731,0.75564,0.83253,0.63734,0.78018,0.62879,1.41283,0.03452,0.00763637,0.00763637,0.00763637
67,1030.71,0.76015,0.56582,1.25993,0.02782,0.89966,0.77002,0.8383,0.63559,0.76554,0.60022,1.37622,0.03221,0.00756976,0.00756976,0.00756976
68,1045.85,0.74455,0.56531,1.23702,0.02614,0.89495,0.7892,0.84029,0.64087,0.76121,0.57693,1.39575,0.03365,0.00750252,0.00750252,0.00750252
69,1061.22,0.75276,0.55871,1.24146,0.02528,0.89929,0.76713,0.82905,0.63105,0.77601,0.60779,1.39008,0.03356,0.00743468,0.00743468,0.00743468
70,1076.26,0.74943,0.55361,1.24919,0.02977,0.88233,0.78763,0.82778,0.63459,0.77862,0.59514,1.40843,0.03589,0.00736625,0.00736625,0.00736625
71,1091.48,0.73594,0.54755,1.23725,0.02439,0.90384,0.76003,0.83367,0.63425,0.78176,0.61148,1.40458,0.03572,0.00729725,0.00729725,0.00729725
72,1106.64,0.74006,0.5439,1.24217,0.0275,0.89575,0.7803,0.82942,0.63158,0.76779,0.59862,1.39895,0.03117,0.0072277,0.0072277,0.0072277
73,1121.85,0.74198,0.55101,1.24306,0.02676,0.90021,0.7448,0.8204,0.63681,0.77038,0.64835,1.40158,0.03138,0.00715761,0.00715761,0.00715761
74,1137.06,0.73839,0.55336,1.23451,0.02409,0.90125,0.78642,0.83445,0.63255,0.78589,0.56517,1.40006,0.03274,0.007087,0.007087,0.007087
75,1152.18,0.72753,0.54291,1.2448,0.02352,0.88278,0.76337,0.82388,0.62986,0.77225,0.61038,1.43079,0.03092,0.00701588,0.00701588,0.00701588
76,1167.28,0.7322,0.53981,1.24219,0.02458,0.89783,0.77099,0.8452,0.64806,0.78194,0.57577,1.40255,0.03599,0.00694428,0.00694428,0.00694428
77,1182.39,0.73743,0.54689,1.2323,0.02656,0.90099,0.77507,0.84078,0.65232,0.75452,0.58268,1.40228,0.03,0.00687222,0.00687222,0.00687222
78,1197.6,0.71961,0.53098,1.21795,0.02415,0.92031,0.77059,0.82944,0.63433,0.76223,0.57548,1.39522,0.03234,0.0067997,0.0067997,0.0067997
79,1212.71,0.70242,0.51783,1.21299,0.02449,0.89316,0.78468,0.82676,0.62715,0.76471,0.59217,1.3775,0.03123,0.00672675,0.00672675,0.00672675
80,1228.04,0.72111,0.5306,1.21794,0.02618,0.90565,0.79536,0.85146,0.65731,0.74371,0.54795,1.36365,0.03463,0.00665339,0.00665339,0.00665339
81,1243.28,0.70325,0.51004,1.21236,0.02165,0.90051,0.80452,0.85698,0.66201,0.73297,0.54482,1.36281,0.03154,0.00657963,0.00657963,0.00657963
82,1258.55,0.7126,0.52006,1.21515,0.02446,0.88795,0.79191,0.83992,0.6459,0.75294,0.55546,1.38369,0.03364,0.0065055,0.0065055,0.0065055
83,1273.8,0.70305,0.50962,1.20834,0.02388,0.90468,0.79617,0.85076,0.64902,0.75883,0.55495,1.41027,0.03,0.00643101,0.00643101,0.00643101
84,1288.8,0.69592,0.52248,1.21357,0.02505,0.90803,0.78168,0.83572,0.64477,0.75205,0.57242,1.40202,0.02983,0.00635617,0.00635617,0.00635617
85,1303.87,0.70044,0.51122,1.20815,0.02361,0.91262,0.77258,0.83463,0.64269,0.74083,0.58286,1.38423,0.02852,0.00628101,0.00628101,0.00628101
86,1319.06,0.70082,0.50999,1.2176,0.02359,0.90069,0.8071,0.85219,0.65099,0.77316,0.55497,1.40893,0.03386,0.00620555,0.00620555,0.00620555
87,1334.15,0.68761,0.49953,1.19478,0.02317,0.91077,0.78633,0.84381,0.64315,0.75999,0.57564,1.40575,0.03094,0.00612981,0.00612981,0.00612981
88,1349.26,0.69303,0.51079,1.19158,0.02316,0.90561,0.77731,0.83811,0.64794,0.74314,0.56241,1.37856,0.03159,0.0060538,0.0060538,0.0060538
89,1364.52,0.69063,0.50478,1.19455,0.02287,0.85778,0.80914,0.84551,0.64772,0.7564,0.57735,1.39767,0.03439,0.00597754,0.00597754,0.00597754
90,1379.67,0.68225,0.49873,1.19892,0.02111,0.8768,0.79232,0.84604,0.6479,0.7645,0.55431,1.40838,0.03275,0.00590105,0.00590105,0.00590105
91,1395.02,0.67077,0.49233,1.18573,0.02253,0.90494,0.77317,0.84224,0.648,0.73319,0.57575,1.39423,0.02802,0.00582435,0.00582435,0.00582435
92,1410.23,0.68065,0.49714,1.19394,0.02243,0.9005,0.78547,0.8468,0.64611,0.7643,0.56852,1.40193,0.03588,0.00574746,0.00574746,0.00574746
93,1425.5,0.67507,0.48863,1.18825,0.02334,0.90439,0.78739,0.84135,0.64937,0.75103,0.57789,1.40984,0.03233,0.0056704,0.0056704,0.0056704
94,1440.79,0.6738,0.48261,1.18661,0.02267,0.90731,0.79375,0.84086,0.64613,0.76326,0.55791,1.40734,0.0323,0.00559318,0.00559318,0.00559318
95,1455.9,0.68411,0.49612,1.19658,0.02103,0.88813,0.80821,0.84566,0.65384,0.73799,0.54798,1.39874,0.03133,0.00551584,0.00551584,0.00551584
96,1471.14,0.6736,0.4904,1.1947,0.02398,0.91141,0.78241,0.83081,0.64398,0.7528,0.548,1.39686,0.03351,0.00543837,0.00543837,0.00543837
97,1486.25,0.67053,0.48611,1.19415,0.02146,0.90255,0.78385,0.84242,0.64633,0.74567,0.53265,1.38376,0.03174,0.00536081,0.00536081,0.00536081
98,1501.44,0.67222,0.48719,1.17711,0.0215,0.90281,0.78218,0.8394,0.64552,0.75538,0.54,1.40588,0.0309,0.00528318,0.00528318,0.00528318
99,1517.06,0.65439,0.47389,1.17035,0.02193,0.90795,0.78884,0.84508,0.6461,0.75469,0.56378,1.41401,0.03259,0.00520548,0.00520548,0.00520548
100,1532.38,0.66758,0.47611,1.16644,0.02207,0.90274,0.77904,0.82525,0.63088,0.75501,0.5628,1.39282,0.03134,0.00512775,0.00512775,0.00512775
101,1547.58,0.65747,0.4692,1.17043,0.02043,0.91987,0.78309,0.83026,0.64438,0.7578,0.54267,1.3955,0.03121,0.00505,0.00505,0.00505
102,1562.81,0.66114,0.47857,1.17487,0.02018,0.90951,0.78629,0.8417,0.64693,0.75442,0.55432,1.39695,0.0313,0.00497225,0.00497225,0.00497225
103,1577.9,0.64155,0.46531,1.16004,0.01905,0.90197,0.78853,0.84405,0.64284,0.74466,0.54873,1.40835,0.02883,0.00489452,0.00489452,0.00489452
104,1593.03,0.64948,0.47629,1.17882,0.01961,0.88854,0.79315,0.83913,0.63557,0.76803,0.56489,1.41901,0.03036,0.00481682,0.00481682,0.00481682
105,1608.2,0.64183,0.46416,1.16254,0.01918,0.89492,0.81114,0.84955,0.64725,0.74581,0.53455,1.41902,0.03069,0.00473919,0.00473919,0.00473919
106,1623.46,0.64559,0.47013,1.16989,0.01994,0.9047,0.79806,0.84816,0.64746,0.75709,0.56044,1.39972,0.03074,0.00466163,0.00466163,0.00466163
107,1638.61,0.64592,0.47014,1.16665,0.02002,0.91386,0.78597,0.83669,0.64678,0.74542,0.5456,1.39608,0.03234,0.00458416,0.00458416,0.00458416
108,1653.62,0.64616,0.46866,1.17612,0.02006,0.89304,0.80031,0.85016,0.65126,0.74481,0.55782,1.39082,0.03192,0.00450682,0.00450682,0.00450682
109,1668.87,0.64152,0.46005,1.15908,0.02091,0.91447,0.78725,0.84071,0.64488,0.74397,0.54813,1.39533,0.03179,0.0044296,0.0044296,0.0044296
110,1684.1,0.64367,0.46039,1.16861,0.02052,0.90116,0.79747,0.84459,0.65412,0.74915,0.53827,1.42608,0.0343,0.00435254,0.00435254,0.00435254
111,1699.18,0.63526,0.45194,1.16446,0.01742,0.92634,0.78771,0.84655,0.65139,0.74371,0.55662,1.41311,0.03323,0.00427565,0.00427565,0.00427565
112,1714.44,0.65028,0.46545,1.16744,0.01986,0.90183,0.78816,0.8379,0.65028,0.76119,0.58021,1.4186,0.03545,0.00419895,0.00419895,0.00419895
113,1729.72,0.63518,0.45843,1.1593,0.01901,0.89627,0.80345,0.84842,0.6546,0.74277,0.53808,1.39788,0.03163,0.00412246,0.00412246,0.00412246
114,1744.93,0.61635,0.44744,1.1541,0.01873,0.91445,0.78607,0.84481,0.65543,0.73861,0.5365,1.40218,0.03061,0.0040462,0.0040462,0.0040462
115,1760.15,0.62682,0.4468,1.15067,0.01741,0.91234,0.78438,0.84204,0.64608,0.74619,0.54798,1.39743,0.03578,0.00397019,0.00397019,0.00397019
116,1775.2,0.62407,0.43923,1.1668,0.01949,0.8973,0.78579,0.83679,0.64599,0.74559,0.55036,1.42379,0.0321,0.00389445,0.00389445,0.00389445
117,1790.37,0.62835,0.44509,1.14542,0.01873,0.90591,0.79386,0.84218,0.6512,0.74369,0.5219,1.41159,0.03369,0.00381899,0.00381899,0.00381899
118,1805.61,0.622,0.43922,1.14568,0.01766,0.90944,0.78914,0.8372,0.64975,0.75137,0.55619,1.4224,0.03432,0.00374383,0.00374383,0.00374383
119,1820.84,0.61217,0.43668,1.14006,0.01912,0.89538,0.7967,0.83971,0.6503,0.73213,0.54383,1.40578,0.0327,0.00366899,0.00366899,0.00366899
120,1836.04,0.61142,0.43326,1.14669,0.0172,0.89336,0.79473,0.84914,0.65165,0.74223,0.53814,1.40822,0.03345,0.0035945,0.0035945,0.0035945
121,1851.18,0.60925,0.43313,1.14022,0.01901,0.90134,0.78598,0.84436,0.64837,0.73657,0.51839,1.41578,0.03317,0.00352037,0.00352037,0.00352037
122,1866.41,0.6152,0.43845,1.14679,0.01774,0.9115,0.78942,0.85278,0.65837,0.7422,0.52315,1.40905,0.03267,0.00344661,0.00344661,0.00344661
123,1881.6,0.60306,0.43555,1.13174,0.01718,0.9084,0.80023,0.84745,0.6528,0.74733,0.52153,1.42074,0.03381,0.00337325,0.00337325,0.00337325
124,1896.8,0.60477,0.43423,1.13234,0.01775,0.88911,0.80184,0.84261,0.6515,0.74181,0.53041,1.42002,0.03375,0.0033003,0.0033003,0.0033003
125,1911.97,0.60582,0.43507,1.14546,0.01839,0.90611,0.79086,0.84609,0.65197,0.73474,0.53223,1.40477,0.03124,0.00322778,0.00322778,0.00322778
126,1926.64,0.59838,0.42841,1.14482,0.01682,0.88586,0.8076,0.84878,0.65903,0.72854,0.52232,1.40704,0.03106,0.00315572,0.00315572,0.00315572
127,1941.3,0.59807,0.42984,1.12881,0.01792,0.89474,0.80336,0.852,0.65573,0.74141,0.51848,1.41027,0.03286,0.00308412,0.00308412,0.00308412
128,1956.02,0.59601,0.42375,1.13395,0.01807,0.89561,0.81194,0.84929,0.65696,0.73381,0.53003,1.41912,0.03419,0.003013,0.003013,0.003013
129,1970.83,0.59775,0.42965,1.1345,0.0169,0.89249,0.79828,0.84688,0.65769,0.71858,0.5288,1.40929,0.03157,0.00294239,0.00294239,0.00294239
130,1986.1,0.61261,0.43448,1.12543,0.01786,0.89919,0.80334,0.84312,0.64834,0.73148,0.5283,1.41823,0.03711,0.0028723,0.0028723,0.0028723
131,2001.34,0.59242,0.42543,1.14015,0.01675,0.89347,0.79873,0.83867,0.64496,0.74188,0.536,1.42173,0.03517,0.00280275,0.00280275,0.00280275
