epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,2128.33,0.78568,0.82514,1.42959,0.01992,0.82512,0.65834,0.7205,0.56102,0.60996,0.593,1.40697,0.01788,0.007558,0.007558,0.007558
39,2181.57,0.77183,0.79458,1.42264,0.02092,0.8241,0.66437,0.72542,0.56169,0.62173,0.59761,1.40713,0.01641,0.007492,0.007492,0.007492
40,2234.82,0.77301,0.78761,1.40936,0.02011,0.81803,0.66986,0.73367,0.56833,0.60378,0.56783,1.38083,0.01776,0.007426,0.007426,0.007426
41,2287.21,0.77272,0.78492,1.41586,0.02121,0.7726,0.68594,0.72673,0.56429,0.60895,0.58059,1.40137,0.01692,0.00736,0.00736,0.00736
42,2339.89,0.779,0.7964,1.42285,0.02112,0.79367,0.68302,0.73216,0.5652,0.60809,0.59232,1.3906,0.01835,0.007294,0.007294,0.007294
43,2392.39,0.75862,0.77961,1.40903,0.01907,0.83006,0.67276,0.72771,0.56575,0.61219,0.57599,1.39755,0.01741,0.007228,0.007228,0.007228
44,2444.83,0.76832,0.76674,1.40754,0.01984,0.80185,0.6708,0.72519,0.56255,0.60413,0.57328,1.38473,0.01701,0.007162,0.007162,0.007162
45,2497.38,0.75586,0.76562,1.39918,0.02081,0.82942,0.6736,0.73648,0.57107,0.60502,0.56017,1.39361,0.0172,0.007096,0.007096,0.007096
46,2549.91,0.75361,0.76679,1.40138,0.01942,0.81618,0.67669,0.73123,0.56578,0.60989,0.56776,1.3879,0.01617,0.00703,0.00703,0.00703
47,2602.7,0.75745,0.77176,1.39885,0.02031,0.79855,0.68886,0.73316,0.57393,0.59293,0.57074,1.37657,0.01756,0.006964,0.006964,0.006964
48,2655.25,0.74075,0.74621,1.38502,0.0192,0.84073,0.6721,0.73917,0.57622,0.60094,0.56059,1.39847,0.01828,0.006898,0.006898,0.006898
49,2707.62,0.74594,0.75478,1.39378,0.0186,0.81809,0.67988,0.73078,0.5712,0.59552,0.57734,1.38381,0.01657,0.006832,0.006832,0.006832
50,2760.89,0.74567,0.7448,1.39464,0.01823,0.83956,0.67782,0.74667,0.58171,0.5928,0.54714,1.38128,0.01676,0.006766,0.006766,0.006766
51,2813.21,0.74766,0.74356,1.39031,0.01909,0.82901,0.66767,0.73778,0.57697,0.58798,0.55657,1.37314,0.01558,0.0067,0.0067,0.0067
52,2866.28,0.73228,0.72555,1.37446,0.01833,0.8271,0.66664,0.73675,0.57695,0.57131,0.55616,1.34172,0.01646,0.006634,0.006634,0.006634
53,2918.64,0.7358,0.7374,1.38109,0.01717,0.82134,0.67494,0.74308,0.58605,0.57503,0.54049,1.34705,0.01583,0.006568,0.006568,0.006568
