epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1981.76,0.75359,0.73354,1.40528,0.02011,0.88482,0.8249,0.89419,0.74505,0.5784,0.5306,1.4124,0.01747,0.00582435,0.00582435,0.00582435
38,2034.65,0.74972,0.7175,1.39392,0.0196,0.88154,0.84252,0.8984,0.75009,0.58995,0.52814,1.43523,0.01355,0.00563181,0.00563181,0.00563181
39,2087.7,0.74579,0.72858,1.39723,0.02047,0.88944,0.84818,0.90425,0.76368,0.56274,0.49517,1.38154,0.01453,0.00543837,0.00543837,0.00543837
40,2140.53,0.72732,0.70729,1.38761,0.01809,0.89842,0.82607,0.89868,0.75678,0.56918,0.51468,1.40115,0.01467,0.00524434,0.00524434,0.00524434
41,2193.56,0.7389,0.70654,1.38466,0.02134,0.87982,0.84497,0.90332,0.75849,0.57261,0.50214,1.40356,0.01345,0.00505,0.00505,0.00505
42,2246.52,0.72393,0.68722,1.38058,0.02063,0.90596,0.82749,0.90671,0.76798,0.55157,0.48275,1.38267,0.01312,0.00485566,0.00485566,0.00485566
43,2299.33,0.72164,0.68765,1.37017,0.0195,0.88742,0.86187,0.91698,0.77333,0.55007,0.49079,1.38468,0.01337,0.00466163,0.00466163,0.00466163
44,2352.1,0.72088,0.68809,1.37347,0.0216,0.91001,0.83336,0.91092,0.76872,0.55743,0.48373,1.39542,0.01193,0.00446819,0.00446819,0.00446819
45,2404.75,0.71037,0.68348,1.37049,0.01806,0.91634,0.84136,0.91723,0.77729,0.5385,0.45853,1.37753,0.01244,0.00427565,0.00427565,0.00427565
46,2457.57,0.71744,0.67406,1.35849,0.01994,0.89513,0.84957,0.91034,0.77466,0.53059,0.4769,1.35973,0.01298,0.0040843,0.0040843,0.0040843
47,2510.43,0.71027,0.67016,1.36424,0.02011,0.89237,0.84736,0.9151,0.77458,0.53894,0.4755,1.35518,0.0133,0.00389445,0.00389445,0.00389445
48,2563.15,0.71192,0.67017,1.35642,0.01966,0.91298,0.84428,0.9117,0.77978,0.52677,0.46389,1.34738,0.01271,0.00370637,0.00370637,0.00370637
