epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0852,1.44905,1.99438,2.16148,0.05961,0.72633,0.23226,0.21849,0.11153,1.38744,2.44072,2.41026,0.03806,0.00332317,0.00332317,0.0700915
2,120.848,1.28972,1.71724,1.92893,0.04787,0.52034,0.3332,0.3127,0.1907,1.19939,2.43473,2.24231,0.03499,0.00661257,0.00661257,0.0400475
3,182.343,1.21808,1.61803,1.86425,0.03946,0.41236,0.40546,0.36359,0.22619,1.15943,2.02487,2.14284,0.02703,0.00985797,0.00985797,0.0099596
4,244.044,1.15407,1.4966,1.79346,0.0365,0.50174,0.39584,0.39258,0.26146,1.10401,1.39817,2.04921,0.0256,0.009802,0.009802,0.009802
5,304.618,1.09352,1.41437,1.74515,0.03145,0.56065,0.47752,0.48558,0.32135,0.94755,1.79879,1.8514,0.02939,0.009736,0.009736,0.009736
6,363.161,1.05382,1.32647,1.69631,0.02949,0.51793,0.48465,0.4805,0.32931,0.94514,1.47829,1.85529,0.01818,0.00967,0.00967,0.00967
7,421.95,1.03304,1.29623,1.67972,0.02992,0.63632,0.51739,0.54964,0.37593,0.92167,1.14613,1.78618,0.02721,0.009604,0.009604,0.009604
8,481.302,1.02619,1.26266,1.66755,0.03029,0.66838,0.52522,0.55695,0.38983,0.85929,1.07045,1.71662,0.02446,0.009538,0.009538,0.009538
9,540.313,0.98328,1.19405,1.6269,0.02851,0.65505,0.55402,0.58563,0.41412,0.83806,0.97577,1.68952,0.02508,0.009472,0.009472,0.009472
10,600.148,0.97025,1.15555,1.61228,0.02677,0.64143,0.56388,0.57416,0.39974,0.84706,1.00148,1.71792,0.02417,0.009406,0.009406,0.009406
11,662.141,0.96828,1.16665,1.61764,0.02672,0.67926,0.5638,0.59711,0.43393,0.77379,0.9044,1.61605,0.02235,0.00934,0.00934,0.00934
12,724.215,0.93953,1.1035,1.59031,0.02333,0.67989,0.56255,0.59849,0.42791,0.77299,0.90226,1.63103,0.02099,0.009274,0.009274,0.009274
13,787.095,0.92704,1.10358,1.57168,0.02458,0.6806,0.55849,0.6047,0.44034,0.7662,0.92891,1.59357,0.02038,0.009208,0.009208,0.009208
14,850.531,0.93337,1.09874,1.5848,0.02553,0.68661,0.57704,0.6169,0.44616,0.78018,0.95569,1.64806,0.01969,0.009142,0.009142,0.009142
15,911.87,0.90422,1.05726,1.55907,0.02367,0.68742,0.53811,0.56815,0.4122,0.77689,1.02059,1.62368,0.02095,0.009076,0.009076,0.009076
16,970.671,0.90292,1.03194,1.55053,0.02422,0.71265,0.61429,0.65626,0.47488,0.72061,0.78263,1.54411,0.02031,0.00901,0.00901,0.00901
17,1026.81,0.89708,1.01133,1.54557,0.02427,0.73311,0.60996,0.65791,0.47607,0.74523,0.82185,1.57744,0.01989,0.008944,0.008944,0.008944
18,1082.15,0.87284,0.98391,1.52886,0.02116,0.73547,0.60424,0.65427,0.47994,0.7354,0.79563,1.5739,0.02079,0.008878,0.008878,0.008878
19,1137.04,0.87652,0.99438,1.52489,0.02333,0.75684,0.59648,0.65411,0.48567,0.7063,0.82478,1.52501,0.01972,0.008812,0.008812,0.008812
20,1190.95,0.86941,0.97176,1.51804,0.02212,0.72001,0.62152,0.65132,0.48448,0.69981,0.7867,1.50888,0.01986,0.008746,0.008746,0.008746
21,1245.88,0.8588,0.95979,1.51561,0.02287,0.75303,0.6046,0.6666,0.49406,0.70668,0.76317,1.53533,0.02169,0.00868,0.00868,0.00868
22,1299.99,0.85252,0.96324,1.51192,0.02146,0.75751,0.62044,0.6762,0.49744,0.70717,0.75561,1.54285,0.01914,0.008614,0.008614,0.008614
23,1354.13,0.86445,0.9539,1.5187,0.0236,0.72209,0.60803,0.64542,0.48878,0.68978,0.75893,1.49932,0.01885,0.008548,0.008548,0.008548
24,1408.41,0.85329,0.92666,1.5074,0.02056,0.78826,0.61022,0.68122,0.50853,0.70198,0.7211,1.50949,0.02104,0.008482,0.008482,0.008482
25,1462.54,0.83908,0.91432,1.4894,0.0231,0.75342,0.65201,0.70009,0.52521,0.68009,0.68105,1.48766,0.01971,0.008416,0.008416,0.008416
26,1516.85,0.84116,0.9236,1.49687,0.02212,0.77865,0.63682,0.70172,0.52223,0.66781,0.74329,1.47852,0.02201,0.00835,0.00835,0.00835
27,1571.18,0.82626,0.90291,1.48043,0.02161,0.75389,0.66971,0.70823,0.53025,0.68367,0.6925,1.49143,0.01866,0.008284,0.008284,0.008284
28,1625.47,0.824,0.88932,1.48231,0.02184,0.74508,0.62405,0.67576,0.51473,0.6772,0.74681,1.48628,0.01956,0.008218,0.008218,0.008218
29,1679.78,0.82932,0.88016,1.48004,0.0225,0.76141,0.6472,0.69853,0.5302,0.67124,0.72405,1.50168,0.01955,0.008152,0.008152,0.008152
30,1734.02,0.81545,0.87395,1.45533,0.02152,0.78169,0.6583,0.71034,0.54259,0.65118,0.65883,1.4393,0.01851,0.008086,0.008086,0.008086
31,1788.38,0.81132,0.87707,1.45591,0.02106,0.76796,0.6426,0.69685,0.52825,0.66119,0.68985,1.46973,0.0195,0.00802,0.00802,0.00802
32,1842.21,0.79945,0.84868,1.44696,0.02041,0.7705,0.6742,0.71327,0.53944,0.64596,0.65302,1.44959,0.01964,0.007954,0.007954,0.007954
33,1896.41,0.8083,0.8545,1.45546,0.02272,0.79678,0.6646,0.72228,0.54412,0.66605,0.66423,1.46865,0.01962,0.007888,0.007888,0.007888
34,1950.5,0.79614,0.82482,1.4413,0.02308,0.81075,0.65093,0.71941,0.55009,0.62518,0.63343,1.41941,0.01871,0.007822,0.007822,0.007822
35,2004.7,0.80338,0.8214,1.44087,0.02289,0.77713,0.65841,0.7103,0.53801,0.64306,0.62646,1.44537,0.01919,0.007756,0.007756,0.007756
36,2058.95,0.79605,0.82725,1.43909,0.02178,0.80596,0.65757,0.7161,0.55065,0.64288,0.63332,1.44116,0.018,0.00769,0.00769,0.00769
37,2113.04,0.7955,0.82392,1.43952,0.02269,0.79604,0.64914,0.7115,0.54794,0.63179,0.61186,1.42753,0.0178,0.007624,0.007624,0.007624
38,2166.91,0.77075,0.78258,1.42045,0.02027,0.81229,0.67177,0.73068,0.55927,0.63068,0.5944,1.42724,0.01622,0.007558,0.007558,0.007558
39,2221.14,0.78462,0.81114,1.42607,0.02177,0.77165,0.67871,0.73006,0.56057,0.61761,0.5972,1.40316,0.0176,0.007492,0.007492,0.007492
40,2275.3,0.77346,0.78719,1.42623,0.02111,0.81682,0.65512,0.72046,0.55545,0.61795,0.61115,1.40967,0.01759,0.007426,0.007426,0.007426
41,2329.42,0.77029,0.80495,1.41245,0.02003,0.82004,0.66961,0.73496,0.57126,0.6203,0.59818,1.41165,0.0173,0.00736,0.00736,0.00736
42,2383.31,0.77141,0.78829,1.41241,0.01949,0.82273,0.66049,0.71398,0.55098,0.61461,0.59524,1.40014,0.01768,0.007294,0.007294,0.007294
43,2437.25,0.76895,0.7878,1.41559,0.01903,0.81061,0.665,0.72645,0.55838,0.61757,0.58902,1.41021,0.01886,0.007228,0.007228,0.007228
44,2491.41,0.75894,0.76959,1.41805,0.0196,0.79465,0.69249,0.74083,0.56676,0.60814,0.58295,1.39476,0.019,0.007162,0.007162,0.007162
45,2545.42,0.75534,0.76764,1.40141,0.02078,0.82126,0.67616,0.7341,0.56962,0.60195,0.5701,1.39211,0.01735,0.007096,0.007096,0.007096
46,2599.54,0.75683,0.77195,1.40733,0.01997,0.80376,0.67604,0.73561,0.57248,0.605,0.57356,1.38949,0.01851,0.00703,0.00703,0.00703
47,2653.8,0.7508,0.755,1.39798,0.01816,0.81148,0.68173,0.74056,0.57304,0.59889,0.57771,1.37534,0.01576,0.006964,0.006964,0.006964
48,2707.86,0.7571,0.76377,1.39557,0.01921,0.80053,0.67775,0.72891,0.56351,0.60805,0.57624,1.39464,0.01596,0.006898,0.006898,0.006898
49,2762.17,0.75118,0.75178,1.40204,0.01949,0.80301,0.67335,0.73373,0.57065,0.59463,0.57205,1.37705,0.01618,0.006832,0.006832,0.006832
50,2816.24,0.73924,0.7494,1.38099,0.01772,0.80648,0.68829,0.74438,0.5798,0.58546,0.56204,1.36167,0.01642,0.006766,0.006766,0.006766
51,2870.4,0.72837,0.7317,1.37703,0.01838,0.82891,0.68864,0.74922,0.58508,0.58666,0.54766,1.37041,0.01795,0.0067,0.0067,0.0067
52,2924.47,0.72779,0.7269,1.37711,0.01715,0.82587,0.6713,0.74026,0.58108,0.58306,0.56344,1.35978,0.01521,0.006634,0.006634,0.006634
53,2978.71,0.73062,0.7246,1.37732,0.01771,0.83373,0.66908,0.73846,0.5793,0.58433,0.53441,1.36623,0.01735,0.006568,0.006568,0.006568
54,3032.79,0.72811,0.71834,1.37678,0.0194,0.82992,0.68972,0.75228,0.58773,0.58483,0.54643,1.35777,0.01662,0.006502,0.006502,0.006502
55,3085.49,0.72968,0.72236,1.37497,0.01891,0.82258,0.69762,0.75746,0.59564,0.58474,0.52219,1.36703,0.01659,0.006436,0.006436,0.006436
56,3137.92,0.72421,0.70865,1.36868,0.0176,0.81385,0.69352,0.74926,0.58545,0.57284,0.52806,1.35353,0.01638,0.00637,0.00637,0.00637
57,3189.99,0.73088,0.7207,1.37671,0.01904,0.81587,0.71049,0.76252,0.59702,0.57078,0.51357,1.34609,0.01608,0.006304,0.006304,0.006304
58,3242.05,0.71069,0.69461,1.36041,0.01722,0.82873,0.68404,0.74674,0.58789,0.57337,0.52491,1.35107,0.01512,0.006238,0.006238,0.006238
59,3294.3,0.71972,0.7074,1.36625,0.01731,0.82705,0.69829,0.75929,0.59768,0.56274,0.515,1.33501,0.01691,0.006172,0.006172,0.006172
60,3346.97,0.72882,0.71576,1.36759,0.01879,0.80438,0.69931,0.74457,0.58862,0.56521,0.50847,1.33712,0.01556,0.006106,0.006106,0.006106
61,3403.02,0.71649,0.69545,1.36137,0.01825,0.83505,0.70048,0.76698,0.60497,0.56043,0.50552,1.33064,0.01525,0.00604,0.00604,0.00604
62,3457.71,0.71815,0.6928,1.36561,0.01734,0.82088,0.70684,0.76356,0.60163,0.57055,0.52634,1.34384,0.01468,0.005974,0.005974,0.005974
63,3512.15,0.7143,0.69589,1.35897,0.01734,0.81668,0.69522,0.74894,0.58939,0.5678,0.5068,1.33369,0.01465,0.005908,0.005908,0.005908
64,3567.95,0.71164,0.69261,1.36021,0.01853,0.81983,0.70438,0.76325,0.60211,0.56151,0.50938,1.33079,0.01663,0.005842,0.005842,0.005842
65,3621.94,0.70074,0.68176,1.34533,0.01748,0.84145,0.69723,0.76087,0.60309,0.56082,0.49621,1.33681,0.01475,0.005776,0.005776,0.005776
66,3678.14,0.70278,0.66988,1.34944,0.01812,0.84529,0.69474,0.77096,0.60548,0.55591,0.49357,1.33089,0.0141,0.00571,0.00571,0.00571
67,3734.63,0.70645,0.68782,1.35135,0.01787,0.83625,0.70211,0.76575,0.60057,0.56057,0.50145,1.33772,0.01452,0.005644,0.005644,0.005644
68,3790.5,0.71031,0.67745,1.35401,0.01954,0.85783,0.7028,0.77042,0.60905,0.54529,0.4911,1.31377,0.01421,0.005578,0.005578,0.005578
69,3844.83,0.69049,0.6643,1.34042,0.01722,0.84855,0.69457,0.7622,0.60226,0.55215,0.49122,1.31997,0.0144,0.005512,0.005512,0.005512
70,3898.8,0.70107,0.67635,1.34532,0.01765,0.84828,0.69064,0.7651,0.60404,0.54868,0.48257,1.31831,0.01481,0.005446,0.005446,0.005446
71,3951.57,0.6938,0.6591,1.33366,0.01807,0.84514,0.7086,0.76758,0.60229,0.54828,0.47771,1.31709,0.01511,0.00538,0.00538,0.00538
72,4006.98,0.69266,0.6695,1.34445,0.01686,0.85063,0.69201,0.7581,0.60067,0.54861,0.48744,1.31213,0.01452,0.005314,0.005314,0.005314
73,4060.79,0.6906,0.66023,1.34228,0.01795,0.84482,0.70709,0.76806,0.6111,0.53923,0.47167,1.30197,0.01473,0.005248,0.005248,0.005248
74,4115.71,0.68304,0.65484,1.32913,0.0171,0.84246,0.70255,0.76771,0.6094,0.54394,0.47811,1.3073,0.01361,0.005182,0.005182,0.005182
75,4169.75,0.68437,0.6553,1.33172,0.01574,0.83115,0.71103,0.77161,0.6116,0.54388,0.47564,1.30456,0.01457,0.005116,0.005116,0.005116
76,4223.95,0.68013,0.65208,1.32675,0.01692,0.86034,0.69889,0.76747,0.61077,0.53624,0.46776,1.30385,0.01448,0.00505,0.00505,0.00505
77,4278.11,0.68532,0.64746,1.32957,0.01776,0.8606,0.69443,0.76739,0.61218,0.54269,0.48174,1.3095,0.01463,0.004984,0.004984,0.004984
78,4332.72,0.68392,0.63889,1.32649,0.0172,0.86005,0.70401,0.77295,0.61463,0.54239,0.46989,1.30512,0.01374,0.004918,0.004918,0.004918
79,4386.86,0.67738,0.63161,1.32305,0.01928,0.84631,0.70423,0.7715,0.61298,0.5346,0.46937,1.30127,0.01424,0.004852,0.004852,0.004852
80,4440.95,0.6679,0.64686,1.31458,0.01605,0.85477,0.7024,0.77055,0.61103,0.53879,0.46568,1.3077,0.01465,0.004786,0.004786,0.004786
81,4493.77,0.67059,0.62887,1.31481,0.01704,0.86209,0.69489,0.77093,0.616,0.53884,0.4654,1.30767,0.01381,0.00472,0.00472,0.00472
82,4545.88,0.68013,0.63676,1.32562,0.01808,0.86033,0.70768,0.77196,0.61651,0.5366,0.46061,1.30441,0.01408,0.004654,0.004654,0.004654
83,4598.04,0.66633,0.62353,1.31407,0.01562,0.84657,0.71812,0.77887,0.61847,0.53039,0.45074,1.29644,0.01409,0.004588,0.004588,0.004588
84,4650.78,0.6818,0.6424,1.32161,0.01734,0.85061,0.72105,0.78382,0.62211,0.53183,0.46077,1.29191,0.01418,0.004522,0.004522,0.004522
85,4702.9,0.66136,0.61992,1.31662,0.01541,0.84159,0.71332,0.77834,0.61768,0.52651,0.45689,1.29087,0.01429,0.004456,0.004456,0.004456
86,4755.16,0.6685,0.61951,1.30965,0.01572,0.84582,0.7175,0.77767,0.6197,0.52224,0.45756,1.28659,0.01345,0.00439,0.00439,0.00439
87,4807.85,0.65825,0.61155,1.30637,0.01637,0.8651,0.71081,0.77771,0.6182,0.52865,0.46301,1.29537,0.0133,0.004324,0.004324,0.004324
88,4860.93,0.65994,0.61114,1.30459,0.01695,0.8577,0.71623,0.77643,0.62263,0.52425,0.45376,1.28728,0.01376,0.004258,0.004258,0.004258
89,4916.22,0.65906,0.61508,1.29966,0.01553,0.84223,0.72537,0.77824,0.61954,0.52839,0.4465,1.28914,0.01329,0.004192,0.004192,0.004192
90,4973.93,0.65862,0.61149,1.30758,0.01546,0.8502,0.72285,0.7773,0.62068,0.52164,0.44703,1.28406,0.01349,0.004126,0.004126,0.004126
91,5031.71,0.66482,0.6215,1.30283,0.01667,0.8481,0.7231,0.78038,0.6228,0.52251,0.44885,1.28182,0.01322,0.00406,0.00406,0.00406
92,5087.34,0.65899,0.61312,1.30533,0.01552,0.86046,0.71862,0.78564,0.6244,0.52562,0.4409,1.28933,0.01292,0.003994,0.003994,0.003994
93,5143.99,0.6458,0.5988,1.29406,0.01529,0.85926,0.71926,0.78466,0.62553,0.53225,0.4467,1.29839,0.01372,0.003928,0.003928,0.003928
94,5201.9,0.65329,0.60172,1.29081,0.01514,0.852,0.7206,0.78136,0.62412,0.52773,0.4453,1.2975,0.01301,0.003862,0.003862,0.003862
95,5258.16,0.63925,0.59411,1.28789,0.01431,0.86526,0.71645,0.78127,0.6248,0.52245,0.44817,1.28855,0.01373,0.003796,0.003796,0.003796
96,5314.76,0.65426,0.60115,1.29704,0.01568,0.8457,0.71877,0.78148,0.62343,0.52244,0.44803,1.28539,0.01297,0.00373,0.00373,0.00373
97,5371.33,0.63884,0.59058,1.2812,0.01606,0.86489,0.70901,0.78304,0.62291,0.51837,0.45062,1.27791,0.01325,0.003664,0.003664,0.003664
98,5426.54,0.64143,0.58599,1.28415,0.01541,0.84032,0.72212,0.78091,0.62354,0.51712,0.44566,1.27506,0.01299,0.003598,0.003598,0.003598
99,5482.57,0.64901,0.5865,1.2874,0.01734,0.87622,0.70837,0.77942,0.62536,0.5177,0.44262,1.2775,0.01299,0.003532,0.003532,0.003532
100,5538.08,0.64038,0.58355,1.2863,0.01522,0.85936,0.71946,0.78352,0.62841,0.51533,0.44203,1.27701,0.01302,0.003466,0.003466,0.003466
101,5594.08,0.63648,0.58413,1.28244,0.01473,0.85965,0.71239,0.77705,0.62452,0.51459,0.44159,1.27363,0.01345,0.0034,0.0034,0.0034
102,5649.73,0.63554,0.57261,1.2751,0.01469,0.8747,0.71002,0.77671,0.6252,0.5115,0.43794,1.26937,0.01354,0.003334,0.003334,0.003334
103,5706.12,0.63808,0.58623,1.2848,0.01452,0.86001,0.72126,0.77984,0.62665,0.50969,0.43269,1.27067,0.0125,0.003268,0.003268,0.003268
104,5762.96,0.62585,0.57287,1.27292,0.01543,0.85777,0.72433,0.78196,0.62819,0.50749,0.43061,1.26683,0.01299,0.003202,0.003202,0.003202
