epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,526.987,0.76395,0.53116,1.2127,0.00532,0.94549,0.9339,0.92333,0.7376,1.03844,0.72514,1.25118,0.01624,0.00189475,0.00189475,0.00189475
38,541.239,0.76186,0.52545,1.21211,0.00602,0.94778,0.92938,0.92206,0.73748,1.02672,0.71675,1.24301,0.01464,0.00166149,0.00166149,0.00166149
39,555.396,0.75527,0.51641,1.20622,0.00634,0.94676,0.9339,0.92254,0.73825,1.02007,0.70005,1.24067,0.0155,0.00144161,0.00144161,0.00144161
40,569.529,0.72675,0.48701,1.18984,0.00619,0.94387,0.93963,0.92673,0.73424,1.04522,0.7097,1.24736,0.01611,0.00123596,0.00123596,0.00123596
41,592.486,0.68028,0.42241,1.13235,0.00639,0.94223,0.92959,0.92465,0.73371,1.05178,0.7328,1.24559,0.01567,0.00104537,0.00104537,0.00104537
42,606.862,0.67252,0.41258,1.11908,0.00617,0.93981,0.93134,0.91999,0.73253,1.04797,0.71178,1.25308,0.01498,0.000870577,0.000870577,0.000870577
43,621.313,0.67523,0.40387,1.12217,0.00642,0.94743,0.93225,0.92359,0.73652,1.01195,0.66412,1.23392,0.0154,0.000712282,0.000712282,0.000712282
44,635.689,0.66175,0.39369,1.09878,0.00628,0.94246,0.93249,0.92068,0.74618,0.98401,0.66236,1.22476,0.0157,0.000571106,0.000571106,0.000571106
45,650.113,0.64056,0.38431,1.09604,0.0067,0.94135,0.92938,0.91982,0.74616,1.0051,0.66707,1.22522,0.01583,0.000447606,0.000447606,0.000447606
46,664.592,0.64097,0.39325,1.10639,0.00589,0.94879,0.93193,0.92389,0.74641,1.00026,0.65661,1.2224,0.01542,0.00034227,0.00034227,0.00034227
47,679.005,0.63478,0.37999,1.09342,0.00659,0.94946,0.9324,0.92286,0.74862,1.00552,0.65922,1.22303,0.01495,0.000255513,0.000255513,0.000255513
48,693.346,0.62754,0.38517,1.09426,0.00629,0.94827,0.93277,0.9201,0.74613,0.98881,0.64822,1.21602,0.015,0.000187678,0.000187678,0.000187678
49,707.817,0.6417,0.38761,1.09675,0.00634,0.94776,0.9339,0.92269,0.74849,1.00487,0.65087,1.22538,0.01547,0.000139032,0.000139032,0.000139032
50,722.353,0.62827,0.37225,1.08129,0.00624,0.94465,0.9339,0.92317,0.75007,0.99639,0.64897,1.22311,0.01555,0.000109768,0.000109768,0.000109768
